evse_latitude,evse_longitude,Pool_SiteType,evse_nominal_power,sessions_per_day,grid_id_1km,population_1km,osm_shop_any_1500m,osm_amenity_food_1500m,osm_office_any_1500m,osm_parking_1500m,osm_fuel_1500m
51.033329,2.872718,Unknown,150,1.806451612903225,1kmN3126E3821,2490,37,23,4,58,6
51.083238,3.444672,Store,300,14.033333333333331,1kmN3128E3862,2516,110,36,33,81,3
50.938346,4.475505,Unknown,300,17.06896551724138,1kmN3106E3933,156,7,4,0,18,1
50.95223,4.2931,Store,320,4.966666666666667,1kmN3109E3920,692,21,8,1,32,2
50.91884,3.171217,Unknown,300,6.266666666666667,1kmN3112E3841,486,11,1,10,66,2
51.21718,4.27039,Parking area,175,1.0333333333333334,1kmN3138E3921,2085,90,33,6,63,1
50.91853,3.200376,Office building,320,1.7,1kmN3111E3843,1819,110,63,30,229,5
50.901198,3.405845,Parking area,301,1.1935483870967742,1kmN3108E3857,1282,63,22,4,64,5
51.209628,3.25504,Store,150,2.8,1kmN3143E3850,2761,94,53,8,83,4
51.034748,4.514834,Store,320,2.161290322580645,1kmN3117E3936,2736,23,8,5,36,2
51.321999,4.586359,Unknown,300,16.161290322580644,1kmN3148E3944,755,2,3,0,3,0
50.90987,4.7127,Store,320,4.258064516129032,1kmN3102E3949,1051,38,15,12,33,6
50.938346,4.475505,Unknown,300,17.903225806451612,1kmN3106E3933,156,7,4,0,18,1
50.938346,4.475505,Unknown,300,12.966666666666669,1kmN3106E3933,156,7,4,0,18,1
50.938346,4.475505,Unknown,300,17.387096774193548,1kmN3106E3933,156,7,4,0,18,1
50.825547,4.814096,Store,300,11.10344827586207,1kmN3092E3955,131,2,1,1,3,0
51.083238,3.444672,Store,300,14.225806451612904,1kmN3128E3862,2516,110,36,33,81,3
50.870126,4.545831,Unknown,300,13.133333333333333,1kmN3098E3937,258,9,3,0,17,0
50.868743,4.544832,Unknown,300,10.32258064516129,1kmN3098E3937,258,8,4,0,19,0
50.794686,4.306265,Office building,320,2.3,1kmN3091E3920,2943,108,31,11,61,5
50.928126,3.958265,Unknown,300,10.766666666666667,1kmN3108E3896,323,58,25,9,38,4
50.838111,4.009528,Parking area,150,2.933333333333333,1kmN3097E3899,1839,147,66,13,52,2
50.928126,3.958265,Unknown,300,11.366666666666667,1kmN3108E3896,323,58,25,9,38,4
51.203886,4.647288,Store,350,2.870967741935484,1kmN3135E3947,1003,21,9,6,30,2
50.793268,4.307761,Office building,150,8.466666666666667,1kmN3091E3920,2943,93,29,10,61,5
51.21806,4.496005,Store,320,2.8,1kmN3137E3936,2276,31,10,5,46,10
50.868743,4.544832,Unknown,300,16.466666666666665,1kmN3098E3937,258,8,4,0,19,0
51.22396,5.42815,Store,320,2.5161290322580645,1kmN3133E4001,1189,88,53,17,116,3
50.943524,5.284725,Office building,150,8.838709677419354,1kmN3103E3989,1037,33,16,0,37,5
51.034748,4.514834,Store,320,4.290322580645161,1kmN3117E3936,2736,23,8,5,36,2
51.369409,4.842184,Parking area,120,0.032258064516129,1kmN3152E3962,387,12,1,0,6,0
51.208988,3.20235,Store,301,4.466666666666667,1kmN3144E3846,943,366,217,64,555,6
51.20877,3.26566,Store,320,1.7096774193548387,1kmN3143E3851,1556,72,25,5,45,4
51.321999,4.586359,Unknown,300,10.5,1kmN3148E3944,755,2,3,0,3,0
50.870126,4.545831,Unknown,300,15.32258064516129,1kmN3098E3937,258,9,3,0,17,0
50.749455,3.59509,Store,150,3.419354838709677,1kmN3090E3869,3949,60,34,1,50,5
51.321999,4.586359,Unknown,300,11.8,1kmN3148E3944,755,2,3,0,3,0
50.878481,4.281058,Store,200,5.333333333333333,1kmN3100E3918,159,65,34,26,111,6
50.936129,4.47578,Unknown,300,16.838709677419356,1kmN3106E3933,156,7,3,0,16,1
51.017219,3.664973,Office building,600,2.193548387096774,1kmN3119E3877,941,86,20,19,14,2
50.90872,4.38627,Store,350,3.6,1kmN3103E3926,2309,39,19,37,190,1
50.938346,4.475505,Unknown,300,20.566666666666663,1kmN3106E3933,156,7,4,0,18,1
51.226805,2.921838,Office building,150,2.129032258064516,1kmN3147E3827,2477,168,177,19,146,4
50.938346,4.475505,Unknown,300,10.482758620689657,1kmN3106E3933,156,7,4,0,18,1
51.176443,4.385541,Office building,300,1.3548387096774193,1kmN3133E3928,7787,126,39,23,74,8
51.106193,4.368163,Store,300,2.2666666666666666,1kmN3125E3927,1845,68,25,4,66,3
51.034748,4.514834,Store,320,1.935483870967742,1kmN3117E3936,2736,23,8,5,36,2
50.944057,4.021875,Parking area,301,3.3666666666666667,1kmN3109E3901,5880,123,112,8,43,4
50.839853,3.008643,Unknown,400,3.193548387096774,1kmN3104E3829,115,6,12,1,17,0
50.937972,4.356449,Office building,150,9.387096774193548,1kmN3107E3924,560,68,27,14,172,2
50.850431,3.367583,Parking area,300,5.129032258064516,1kmN3103E3854,1461,22,13,4,60,6
51.126286,4.433017,Store,300,13.258064516129032,1kmN3127E3931,195,82,27,14,64,4
50.870126,4.545831,Unknown,300,13.75,1kmN3098E3937,258,9,3,0,17,0
50.957655,5.694141,Office building,400,1.5,1kmN3102E4018,558,50,25,15,69,8
50.970743,3.844233,Store,350,8.258064516129032,1kmN3113E3889,118,36,4,9,36,5
50.91884,3.171217,Unknown,300,6.4,1kmN3112E3841,486,11,1,10,66,2
50.937972,4.356449,Office building,150,3.838709677419355,1kmN3107E3924,560,68,27,14,172,2
51.126286,4.433017,Store,300,15.35483870967742,1kmN3127E3931,195,82,27,14,64,4
50.923238,3.948618,Parking area,301,2.7857142857142856,1kmN3107E3896,924,51,22,8,24,4
50.938346,4.475505,Unknown,300,17.870967741935484,1kmN3106E3933,156,7,4,0,18,1
50.716236,5.063168,Unknown,400,16.06451612903226,1kmN3078E3972,0,0,1,0,11,0
51.127031,4.550266,Office building,150,6.0,1kmN3127E3939,174,101,56,6,48,2
51.140998,4.455897,Office building,200,3.4516129032258065,1kmN3129E3933,3000,106,34,21,106,4
50.90872,4.38627,Store,350,2.3448275862068964,1kmN3103E3926,2309,39,19,37,190,1
50.896174,5.402397,Unknown,300,8.806451612903226,1kmN3097E3997,198,3,0,1,13,1
50.883402,3.827573,Office building,200,0.2333333333333333,1kmN3104E3887,802,17,10,2,11,4
50.95223,4.2931,Store,320,1.6451612903225807,1kmN3109E3920,692,21,8,1,32,2
50.868743,4.544832,Unknown,300,10.533333333333331,1kmN3098E3937,258,8,4,0,19,0
50.835124,5.509925,Unknown,300,6.620689655172414,1kmN3090E4004,52,0,10,0,20,0
50.96129,4.58565,Office building,600,4.2,1kmN3108E3941,318,62,12,1,27,7
50.726898,4.258953,Unknown,300,7.566666666666666,1kmN3084E3916,91,56,21,24,77,1
51.05169,4.7316,Store,320,6.064516129032258,1kmN3117E3951,907,19,8,40,18,2
50.9891,3.58749,Store,320,3.1666666666666665,1kmN3117E3871,222,21,7,1,3,2
50.938695,5.318296,Office building,150,6.967741935483871,1kmN3102E3992,2800,111,62,20,90,7
51.149514,4.127082,Store,320,2.5517241379310347,1kmN3131E3910,658,13,3,2,15,2
50.716236,5.063168,Unknown,400,9.193548387096774,1kmN3078E3972,0,0,1,0,11,0
50.970743,3.844233,Store,350,13.366666666666667,1kmN3113E3889,118,36,4,9,36,5
50.938346,4.475505,Unknown,300,19.677419354838708,1kmN3106E3933,156,7,4,0,18,1
51.19844,3.23038,Store,320,2.5,1kmN3142E3848,3221,401,422,41,251,6
51.19844,3.23038,Store,320,0.935483870967742,1kmN3142E3848,3221,401,422,41,251,6
50.95202,4.998123,Store,300,16.967741935483872,1kmN3105E3969,79,3,5,0,12,2
50.938346,4.475505,Unknown,300,17.0,1kmN3106E3933,156,7,4,0,18,1
50.716236,5.063168,Unknown,400,6.870967741935484,1kmN3078E3972,0,0,1,0,11,0
50.841181,4.49586,Office building,200,2.8,1kmN3095E3933,2854,25,15,2,43,2
51.04756,3.706687,Office building,150,1.870967741935484,1kmN3123E3880,7056,662,513,121,236,3
50.848281,4.471597,Parking area,300,6.387096774193548,1kmN3096E3932,2078,204,67,31,342,4
50.903272,4.346879,Parking area,300,2.5357142857142856,1kmN3103E3923,1827,206,93,38,382,6
50.936129,4.47578,Unknown,300,22.225806451612904,1kmN3106E3933,156,7,3,0,16,1
50.825547,4.814096,Store,300,8.366666666666667,1kmN3092E3955,131,2,1,1,3,0
51.320062,3.29838,Unknown,400,3.967741935483871,1kmN3155E3854,1148,19,3,3,14,2
50.874852,3.837586,Parking area,300,2.6,1kmN3103E3887,716,19,5,2,12,4
51.18076,4.3891,Store,320,4.483870967741935,1kmN3133E3929,3971,151,40,24,82,9
50.848281,4.471597,Parking area,300,7.806451612903226,1kmN3096E3932,2078,204,67,31,342,4
51.227338,5.431647,Office building,200,2.5806451612903225,1kmN3134E4002,2490,71,39,15,102,3
51.208988,3.20235,Store,301,4.9,1kmN3144E3846,943,366,217,64,555,6
50.886968,4.74097,Store,150,3.0,1kmN3099E3951,2112,46,37,14,145,0
51.226805,2.921838,Office building,400,3.2333333333333334,1kmN3147E3827,2477,168,177,19,146,4
51.321999,4.586359,Unknown,300,15.709677419354838,1kmN3148E3944,755,2,3,0,3,0
51.242382,4.967385,Store,150,2.6666666666666665,1kmN3137E3969,1906,49,28,12,77,2
50.726898,4.258953,Unknown,300,10.1,1kmN3084E3916,91,56,21,24,77,1
